Stát,Otázka,Jednoduchá hra,Obtížna hra
Albánie,"Stát ležící na Balkánském poloostrově, kterému se také říká „Země orlů“.",,*
Belgie,Sídlí zde Rada Evropské unie a organizace NATO.,a,*
Belgie,Země známá svými typickými pralinkami.,a,*
Belgie,Symbolem hlavního města je čůrající chlapeček.,,*
Belgie,"Země, ze které pocházejí Šmoulové.",,*
Bělorusko,Postsovětská země s přídomkem „poslední diktatura v Evropě“.,,*
Bělorusko,"Země sousedící s Polskem, kde žije velká část populace Zubra evropského.",,*
Bosna a Hercegovina,V hlavním městě byl v roce 1914 spáchán atentát na Františka Ferdinanda D’Este.,a,*
Bulharsko,Pochází odtud šopský salát a balkánský sýr.,a,*
Bulharsko,"Zemi se říká růžové království, vyrábí okolo 70 % celosvětové produkce růžového oleje, který je součástí spousty parfémů.",,*
Česko,"Země, která obohatila svět vynálezy jako jsou kostka cukru či kontaktní čočky.",a,*
Česko,Pochází z ní tanec polka.,a,*
Česko,"Stát, který dal světu slovo robot.",a,*
Dánsko,Stavebnice LEGO pochází z této země.,,*
Dánsko,"Země, ve které se narodil a žil světoznámý tvůrce pohádek Hans Christian Andersen (Malá mořská víla).",a,*
Dánsko,"Z této země pochází významný astronom, astrolog a alchymista Tycho Brahe, který strávil část svého života v Praze na královském dvoře Rudolfa II.",,*
Dánsko,"Evropský stát, ke kterému patří ostrov Grónsko.",,*
Estonsko,"Země, ve které se dorozumívají jazykem, který je podobný finštině a maďarštině.",,*
Finsko,Více než tisíc let stará tradice sauny pochází z této země.,a,*
Finsko,"Pobývá zde za polárním kruhem, nedaleko města Rovaniemi, Santa Claus.",a,*
Finsko,"Pochází odtud hra Angry Birds, kterou si celosvětově stáhla více než miliarda uživatelů.",,*
Francie,"Země, která darovala USA Sochu Svobody.",,*
Francie,Nachází se zde obraz Mona Lisa od renesančního umělce Leonarda da Vinciho.,a,*
Francie,Oblíbenou hrou místních lidí je Pétanque.,a,*
Francie,Nalézají se zde nástěnné malby v Lascaux z doby cca 15 000 let před Kristem. Zvláštní jsou svým dost realistickým ztvárněním zvířat.,a,*
Francie,Roku 1830 zde vznikl kabaretní tanec Kankán.,,*
Chorvatsko,"Nacházejí se zde ostrovy Korčula, Brač a Krk.",a,*
Chorvatsko,"Stát, ze kterého pochází známé psí plemeno Dalmatin. Z oblasti Dalmácie.",,*
Chorvatsko,Půl milionu Čechů zde každoročně tráví svoji dovolenou.,a,*
Chorvatsko,Geograficky ji rozděluje Bosna a Hecegovina.,,*
Irsko,Pro své sytě zelené pastviny a louky je tato země nazývaná „zelený ostrov“.,,*
Irsko,Pochází odtud rocková kapela U2.,a,*
Irsko,"Symboly této země jsou trojlístek, harfa a keltský kříž.",,*
Island,"Pro tuto zemi je charakteristický papuchalk bělobradý, který se také nazývá mořský papoušek.",,*
Island,Země je se 3 obyvateli na 1 km2 nejméně hustě obývaná země Evropy. Vnitrozemí je prakticky neobydlené.,,*
Island,Nachází se zde největší evropský ledovec Vatnajakul.,,*
Island,Je to „země ledu a ohně“.,,*
Itálie,Země pizzy a makarónů.,a,*
Itálie,"Pochází odtud slavný mořeplavec Kryštof Kolumbus, rodák z Janova, který objevil Ameriku.",a,*
Itálie,"Žil zde astronom Galileo Galilei, který se kvůli svým názorům dostal do sporu s církví. Bývá spojován s legendární větou „A přece se točí“.",,*
